"","DNAngUsed","VCN","mix"
"CLONALEXPANSION_20200508-CLOEXP-LR-PLATE2-POOL7_LTR72LC72_VA2020-jy0-1_VA2020-jy0-1_lenti_737.pCCLsin.PPT.SFFV.eGFP.Wpre_PLATE2_NONE_1_NONE_SLiM_0000_NONE_NONE_OSR_NONE_NONE_NONE",100,0.484,"jy0"
"CLONALEXPANSION_20200508-CLOEXP-LR-PLATE2-POOL7_LTR73LC73_VA2020-jy1_VA2020-jy1_lenti_743.pCCLsin.PPT.hPGK.eGFP.Wpre.mut.AMP_PLATE2_NONE_1_NONE_SLiM_0000_NONE_NONE_OSR_NONE_NONE_NONE",100,2.85,"jy1"
"CLONALEXPANSION_20200508-CLOEXP-LR-PLATE2-POOL7_LTR74LC74_VA2020-jy10_VA2020-jy10_lenti_743.pCCLsin.PPT.hPGK.eGFP.Wpre.mut.AMP_PLATE2_NONE_1_NONE_SLiM_0000_NONE_NONE_OSR_NONE_NONE_NONE",100,19.1,"jy10"
"CLONALEXPANSION_20200508-CLOEXP-LR-PLATE2-POOL7_LTR75LC75_VA2020-jy0-1_VA2020-jy0-1_lenti_743.pCCLsin.PPT.hPGK.eGFP.Wpre.mut.AMP_PLATE2_NONE_1_NONE_SLiM_0000_NONE_NONE_OSR_NONE_NONE_NONE",20,0.484,"jy0"
"CLONALEXPANSION_20200508-CLOEXP-LR-PLATE2-POOL7_LTR76LC76_VA2020-jy1_VA2020-jy1_lenti_743.pCCLsin.PPT.hPGK.eGFP.Wpre.mut.AMP_PLATE2_NONE_1_NONE_SLiM_0000_NONE_NONE_OSR_NONE_NONE_NONE",20,2.85,"jy1"
"CLONALEXPANSION_20200508-CLOEXP-LR-PLATE2-POOL7_LTR77LC77_VA2020-jy10_VA2020-jy10_lenti_743.pCCLsin.PPT.hPGK.eGFP.Wpre.mut.AMP_PLATE2_NONE_1_NONE_SLiM_0000_NONE_NONE_OSR_NONE_NONE_NONE",20,19.1,"jy10"
"CLONALEXPANSION_20200508-CLOEXP-LR-PLATE2-POOL7_LTR78LC78_VA2020-jy0-1_VA2020-jy0-1_lenti_743.pCCLsin.PPT.hPGK.eGFP.Wpre.mut.AMP_PLATE2_NONE_1_NONE_SLiM_0000_NONE_NONE_OSR_NONE_NONE_NONE",5,0.484,"jy0"
"CLONALEXPANSION_20200508-CLOEXP-LR-PLATE2-POOL7_LTR79LC79_VA2020-jy1_VA2020-jy1_lenti_743.pCCLsin.PPT.hPGK.eGFP.Wpre.mut.AMP_PLATE2_NONE_1_NONE_SLiM_0000_NONE_NONE_OSR_NONE_NONE_NONE",5,2.85,"jy1"
"CLONALEXPANSION_20200508-CLOEXP-LR-PLATE2-POOL7_LTR80LC80_VA2020-jy10_VA2020-jy10_lenti_743.pCCLsin.PPT.hPGK.eGFP.Wpre.mut.AMP_PLATE2_NONE_1_NONE_SLiM_0000_NONE_NONE_OSR_NONE_NONE_NONE",5,19.1,"jy10"
"CLONALEXPANSION_20200508-CLOEXP-LR-PLATE2-POOL7_LTR95LC95_VA2020-jy0-1_VA2020-jy0-1_lenti_743.pCCLsin.PPT.hPGK.eGFP.Wpre.mut.AMP_PLATE2_NONE_1_NONE_SLiM_0000_NONE_NONE_OSR_NONE_NONE_NONE",100,0.484,"jy0"
"CLONALEXPANSION_20200508-CLOEXP-LR-PLATE2-POOL7_LTR96LC96_VA2020-jy1_VA2020-jy1_lenti_743.pCCLsin.PPT.hPGK.eGFP.Wpre.mut.AMP_PLATE2_NONE_1_NONE_SLiM_0000_NONE_NONE_OSR_NONE_NONE_NONE",100,2.85,"jy1"
"CLONALEXPANSION_20200508-CLOEXP-LR-PLATE2-POOL7_LTR1LC1_VA2020-jy10_VA2020-jy10_lenti_743.pCCLsin.PPT.hPGK.eGFP.Wpre.mut.AMP_PLATE2_NONE_1_NONE_SLiM_0000_NONE_NONE_OSR_NONE_NONE_NONE",100,19.1,"jy10"
"CLONALEXPANSION_20200508-CLOEXP-LR-PLATE2-POOL7_LTR2LC2_VA2020-jy0-1_VA2020-jy0-1_lenti_743.pCCLsin.PPT.hPGK.eGFP.Wpre.mut.AMP_PLATE2_NONE_1_NONE_SLiM_0000_NONE_NONE_OSR_NONE_NONE_NONE",20,0.484,"jy0"
"CLONALEXPANSION_20200508-CLOEXP-LR-PLATE2-POOL7_LTR3LC3_VA2020-jy1_VA2020-jy1_lenti_743.pCCLsin.PPT.hPGK.eGFP.Wpre.mut.AMP_PLATE2_NONE_1_NONE_SLiM_0000_NONE_NONE_OSR_NONE_NONE_NONE",20,2.85,"jy1"
"CLONALEXPANSION_20200508-CLOEXP-LR-PLATE2-POOL7_LTR4LC4_VA2020-jy10_VA2020-jy10_lenti_743.pCCLsin.PPT.hPGK.eGFP.Wpre.mut.AMP_PLATE2_NONE_1_NONE_SLiM_0000_NONE_NONE_OSR_NONE_NONE_NONE",20,19.1,"jy10"
"CLONALEXPANSION_20200508-CLOEXP-LR-PLATE2-POOL7_LTR5LC5_VA2020-jy0-1_VA2020-jy0-1_lenti_743.pCCLsin.PPT.hPGK.eGFP.Wpre.mut.AMP_PLATE2_NONE_1_NONE_SLiM_0000_NONE_NONE_OSR_NONE_NONE_NONE",5,0.484,"jy0"
"CLONALEXPANSION_20200508-CLOEXP-LR-PLATE2-POOL7_LTR6LC6_VA2020-jy1_VA2020-jy1_lenti_743.pCCLsin.PPT.hPGK.eGFP.Wpre.mut.AMP_PLATE2_NONE_1_NONE_SLiM_0000_NONE_NONE_OSR_NONE_NONE_NONE",5,2.85,"jy1"
"CLONALEXPANSION_20200508-CLOEXP-LR-PLATE2-POOL7_LTR7LC7_VA2020-jy10_VA2020-jy10_lenti_743.pCCLsin.PPT.hPGK.eGFP.Wpre.mut.AMP_PLATE2_NONE_1_NONE_SLiM_0000_NONE_NONE_OSR_NONE_NONE_NONE",5,19.1,"jy10"
"CLONALEXPANSION_20200508-CLOEXP-LR-PLATE2-POOL7_LTR22LC22_VA2020-jy0-1_VA2020-jy0-1_lenti_743.pCCLsin.PPT.hPGK.eGFP.Wpre.mut.AMP_PLATE2_NONE_1_NONE_SLiM_0000_NONE_NONE_OSR_NONE_NONE_NONE",100,0.484,"jy0"
"CLONALEXPANSION_20200508-CLOEXP-LR-PLATE2-POOL7_LTR23LC23_VA2020-jy1_VA2020-jy1_lenti_743.pCCLsin.PPT.hPGK.eGFP.Wpre.mut.AMP_PLATE2_NONE_1_NONE_SLiM_0000_NONE_NONE_OSR_NONE_NONE_NONE",100,2.85,"jy1"
"CLONALEXPANSION_20200508-CLOEXP-LR-PLATE2-POOL7_LTR24LC24_VA2020-jy10_VA2020-jy10_lenti_743.pCCLsin.PPT.hPGK.eGFP.Wpre.mut.AMP_PLATE2_NONE_1_NONE_SLiM_0000_NONE_NONE_OSR_NONE_NONE_NONE",100,19.1,"jy10"
"CLONALEXPANSION_20200508-CLOEXP-LR-PLATE2-POOL7_LTR25LC25_VA2020-jy0-1_VA2020-jy0-1_lenti_743.pCCLsin.PPT.hPGK.eGFP.Wpre.mut.AMP_PLATE2_NONE_1_NONE_SLiM_0000_NONE_NONE_OSR_NONE_NONE_NONE",20,0.484,"jy0"
"CLONALEXPANSION_20200508-CLOEXP-LR-PLATE2-POOL7_LTR26LC26_VA2020-jy1_VA2020-jy1_lenti_743.pCCLsin.PPT.hPGK.eGFP.Wpre.mut.AMP_PLATE2_NONE_1_NONE_SLiM_0000_NONE_NONE_OSR_NONE_NONE_NONE",20,2.85,"jy1"
"CLONALEXPANSION_20200508-CLOEXP-LR-PLATE2-POOL7_LTR27LC27_VA2020-jy10_VA2020-jy10_lenti_743.pCCLsin.PPT.hPGK.eGFP.Wpre.mut.AMP_PLATE2_NONE_1_NONE_SLiM_0000_NONE_NONE_OSR_NONE_NONE_NONE",20,19.1,"jy10"
"CLONALEXPANSION_20200508-CLOEXP-LR-PLATE2-POOL7_LTR28LC28_VA2020-jy0-1_VA2020-jy0-1_lenti_743.pCCLsin.PPT.hPGK.eGFP.Wpre.mut.AMP_PLATE2_NONE_1_NONE_SLiM_0000_NONE_NONE_OSR_NONE_NONE_NONE",5,0.484,"jy0"
"CLONALEXPANSION_20200508-CLOEXP-LR-PLATE2-POOL7_LTR29LC29_VA2020-jy1_VA2020-jy1_lenti_743.pCCLsin.PPT.hPGK.eGFP.Wpre.mut.AMP_PLATE2_NONE_1_NONE_SLiM_0000_NONE_NONE_OSR_NONE_NONE_NONE",5,2.85,"jy1"
"CLONALEXPANSION_20200508-CLOEXP-LR-PLATE2-POOL7_LTR30LC30_VA2020-jy10_VA2020-jy10_lenti_743.pCCLsin.PPT.hPGK.eGFP.Wpre.mut.AMP_PLATE2_NONE_1_NONE_SLiM_0000_NONE_NONE_OSR_NONE_NONE_NONE",5,19.1,"jy10"
